,,,,,,,,,,,,,,,,,,,,
Brand Name,Website URL,Category,Category,Total Active Ads,Video Ads Count,Image Ads Count,Image Ad Ratio,Pass 35% Filter,Landing pages,Số lượng ads/prelanding chạy ads,Số lượng page Blog,Traffic,%Meta,AOV,% Prelander,Est Revenue,Ad Efficiency,"Checkout 
champ",Note,
GNC,gnc.com,General Supplements,US,"2,300",730,1500,65%,Pass,View details,0,0,2846000,50.20%,68,0.00%,2428776,1056,FALSE,,
Tryrosabella,get.tryrosabella.com,Women's Wellness,US,"5,500",2400,3100,56%,Pass,View details,180,0,2059000,97.37%,99.95,5.81%,5009615,911,TRUE,,
Drink AG1,drinkag1.com,Greens/Multivitamin,US,360,160,200,56%,Pass,,1,,2.171M,18.20%,,,,,,,
Rejuvacare,rejuvacare.com,Health & Wellness ,US,1600,790,800,50%,Pass,View details,180,26,1668000,99%,84.43,22.50%,3485524,2178,TRUE,,
Happy Mammoth,happymammoth.com,Wellness,UK,"2,500",560,1900,76%,Pass,View details,172,271,1319000,83.77%,68.08,9.05%,1880585,752,FALSE,Shopify,
Marmens,mengotomars.com,MEN's Health,US,760,450,310,41%,Pass,View details,68,4,1088000,75.30%,82,21.94%,1679491,2210,FALSE,Shopify,
Froya,froyaorganics.com,Women's Wellness,US,6100,1500,4600,75%,Pass,View details,350,68,"796,408",89.85%,46.08,7.61%,824340,135,FALSE,,
Nutrafol,nutrafol.com,Hair Health,US,"1,500",240,1200,80%,Pass,,,,2.221M,27.30%,,,,,,,
Hone Health,honehealth.com,Men's Health,US,240,170,88,37%,Pass,View details,0,1008,"789,471",69.84%,179,0.00%,2467365,10281,FALSE,,
Ellaola,ellaola.com,Health/Supplement,US,4400,2700,1700,39%,Pass,View details,0,135,"699,360",81.18%,92,0.00%,1305803,297,FALSE,,
Naked Nutrition,nakednutrition.com,Protein/Sports Nutrition,US,730,310,420,58%,Pass,,,,"673,291",10.44%,,,,,,,
Luxeresearchlab,luxeresearchlab.com,Women's Wellness,US,310,170,140,45%,Pass,View details,74,1,"698,267",93.20%,54,52.86%,878560,2834,FALSE,,
Bucked Up,buckedup.com,Sports Nutrition,US,410,150,250,61%,Pass,View details,0,0,"607,745",87.49%,88,0.00%,1169775,2853,FALSE,,
BulkSupplements,bulksupplements.com,Protein/Sports,US,190,14,170,89%,Pass,,,,"834,650",6.50%,,,,,,,
Olavita,try.olavita.co,Women's Wellness,US,300,82,210,70%,Pass,View details,60,0,"604,931",96.75%,99.95,28.57%,1462445,4875,TRUE,,
MuscleFood,musclefood.com,Health/Supplement,UK,230,110,110,48%,Pass,View details,0,53,"473,606",98.60%,62,0.00%,723812,3147,FALSE,,
Alpha Lion,alphalion.com,Sports Nutrition,US,280,160,110,39%,Pass,View details,7,23,"393,544",86.30%,85,6.36%,721711,2578,FALSE,,
Huel,huel.com,Meal Replacement,US,810,270,500,62%,Pass,,,,2.106M,25.80%,,,,,,,
Primal King,primalviking.com,MEN's Health,US,840,160,670,80%,Pass,View details,40,1,"361,507",83.48%,84.63,5.97%,638504,760,FALSE,,
InnoSupps,innosupps.com,Health/Weight Loss,US,420,150,270,64%,Pass,View details,5,41,"326,601",100%,67.08,1.85%,547710,1304,FALSE,,
Ploise,https://ploise.com,Personal Care,US,500,130,280,56%,Pass,View details,97,0,"309,389",99.75%,$94,34.64%,724243,1448,FALSE,NextJs,
Equip Foods,equipfoods.com,Beef Protein,US,750,190,530,71%,Pass,View details,0,65,"283,452",78.19%,98,0.00%,542996,724,FALSE,,
Ancestral Supplements,ancestralsupplements.com,Sports Nutrition,US,380,190,180,47%,Pass,View details,0,216,"264,545",95.30%,92,0.00%,579856,1526,FALSE,,
Myoro,myoro.co,MEN's Health,US,160,78,82,51%,Pass,View details,48,1,"257,226",74.11%,95,58.54%,452747,2830,FALSE,,
AG1,drinkag1.com,Greens/Wellness,US,360,160,200,56%,Pass,,,,2.171M,18.20%,,,,,,,
Fiera Cosmetic,fieracosmetics.com,Women's Wellness,US,150,54,92,61%,Pass,View details,20,322,"243,028",100%,78,21.74%,473905,3159,FALSE,,
Orgain,orgain.com,Protein/Organic,US,190,85,100,53%,Pass,,,,"253,379",19.52%,,,,,,,
REDCON1,redcon1.com,Sports Nutrition,US,110,22,80,73%,Pass,,,,"111,321",23.04%,,,,,,,
Pendulum,pendulumlife.com,Gut Health/Probiotics,US,210,110,76,36%,Pass,View details,0,236,"237,589",84.20%,120,0.00%,600150,2858,FALSE,,
The BB Co,thebbco.com,Collagen/Beauty,US,"7,600",4700,2700,36%,Pass,View details,221,234,"221,871",93.25%,82,8.19%,424134,56,FALSE,,
Norse Organics,norseorganics.co,Women's Wellness,US,910,370,510,56%,Pass,View details,75,9,"163,693",72%,86,14.71%,253397,278,FALSE,,
Balmbare,balmbare.com,Women's Wellness,US,"1,200",220,1000,83%,Pass,View details,0,0,"163,458",94.37%,55,0.00%,212101,177,FALSE,,
Thorne,thorne.com,Health/Supplements,US,"16,000",8800,6900,43%,Pass,View details,0,0,2065000,46.50%,95,0.00%,2280534,143,,,
Truvani,truvani.com,Protein/Wellness,US,470,370,250,53%,Pass,View details,0,0,"148,684",85.47%,57,0.00%,181089,385,FALSE,,
Naked Nutrition,nakednutrition.com,Protein/Supplements,US,730,310,420,58%,Pass,,,,"673,291",10.44%,,,,,,,
True Protein,trueprotein.com.au,Protein/Supplements,AU,560,250,290,52%,Pass,View details,5,935,"147,912",67.51%,75,1.72%,187229,334,FALSE,,
HealthKart,healthkart.com,Supplements/Health,IN,320,210,110,34%,Pass,View details,0,,1.246M,18.02%,28,,,,,,
Lonvera,lonvera.com,Health/Supplement,US,1400,770,600,43%,Pass,View details,5,1,"110,817",100%,78,0.83%,216093,154,FALSE,,
Rejuvia,rejuvia.co,Health & Wellness,US,540,130,410,76%,Pass,View details,41,0,"99,129",99%,88,10.00%,215903,400,FALSE,,
1st Phorm,1stphorm.com,Sports Nutrition,US,260,160,86,33%,Pass,View details,0,,"444,530",38.08%,85,,,,,,
Zenith,taste-zenith.com,Retailer/Supplement,US,190,47,130,68%,Pass,View details,13,,"82,495",100%,45,10.00%,92807,488,FALSE,,
Rejuveen,rejuveen.com,Women's Wellness,US,1600,490,1100,69%,Pass,View details,316,14,"74,939",97.52%,72,28.73%,131545,82,FALSE,Shopify,
NOW Foods,nowfoods.com,Health/Supplement,US,170,79,100,59%,Pass,,,,"546,285",0%,,,,,,,
Legion Athletics,legionathletics.com,Sports Nutrition,US,860,500,310,36%,Pass,View details,0,0,"582,213",4.62%,90,0.00%,60521,70,,,
Transparent Labs,transparentlabs.com,Sports Nutrition,US,280,100,180,64%,Pass,,,,1.153M,26.67%,,,,,,,
iHerb,iherb.com,Retailer/Supplement,US,"6,700",3500,3100,46%,Pass,View details,0,0,41770000,38.75%,112,0.00%,45320450,6764,,,
Trynomend,Trynomend.com,Health & Wellness,US,170,82,91,54%,Pass,View details,23,1,"68,029",98.30%,76,25.27%,127058,747,FALSE,,
WelleCo,welleco.com,Wellness,AU,380,130,240,63%,Pass,View details,6,690,"62,219",84.76%,105,2.50%,138434,364,FALSE,,
MuscleBlaze,muscleblaze.com,Sports Nutrition,IN,"1,200",660,460,38%,Pass,View details,0,0,3959000,10.60%,32,0.00%,335723,280,,,
Trysaphire,trysaphire.com,Personal Care,US,900,550,360,40%,Pass,View details,56,1,"54,609",98.31%,85,15.56%,114083,127,FALSE,,
Nutrabay,nutrabay.com,Sports Nutrition,IN,110,58,51,46%,Pass,View details,0,0,3787000,33.50%,25,0.00%,792903,7208,,,
OmniCreatine,omnicreatine.com,MEN's Health,US,320,160,160,50%,Pass,View details,13,4,"32,862",99.90%,74,8.13%,60734,190,FALSE,,
Spnutrition,https://spnutrition-us.com/,Personal Care,US,1400,430,980,70%,Pass,View details,139,7,"22,519",86%,84,14.18%,40669,29,FALSE,Shopify,
Zenther,zenther.co,Health/Supplement,US,1100,71,1000,91%,Pass,View details,162,1,"20,263",98.90%,115,16.20%,57615,52,FALSE,Shopify,
Mivourr,mivourr.com,Health & Wellness,US,220,15,170,77%,Pass,View details,198,0,"15,287",59.19%,125,116.47%,28276,129,FALSE,,
MindBodyGreen,mindbodygreen.com,Wellness,US,460,210,240,52%,Pass,,,,2.233M,19.19%,,,,,,,
Martinclinic,us.martinclinic.com,Health/Supplement,US,370,14,360,97%,Pass,View details,24,320,"5,503",100%,94,6.67%,12932,35,FALSE,,
Blymeskinsystems,blymeskinsystems.com,Health & Beauty,US,170,0,170,100%,Pass,View details,8,2,"4,999",83.08%,68,4.71%,7060,42,FALSE,,
Soovera,soovera.com,Health & Wellness,US,420,150,260,62%,Pass,View details,68,1,"3,832",100%,64,26.15%,6131,15,FALSE,,
Huel,huel.com,Nutrition,UK,810,270,500,62%,Pass,,,,2.106M,25.75%,,,,,,,
Organifi,organifi.com,Greens/Superfood,US,58,41,17,29%,Fail,,,,,,,,,,,,
Trulean,trulean.com,Protein/Weight Loss,US,27,26,1,4%,Fail,,,,,,,,,,,,
Vitable,vitable.com.au,Personalized Vitamins,AU,170,75,96,56%,Pass,,,,"39,123",0%,,,,,,,
ThriveCo,thriveco.in,Hair Health,IN,56,13,41,73%,Fail,,,,,,,,,,,,
Ancient Nutrition,ancientnutrition.com,Collagen/Superfood,US,36,20,16,44%,Fail,,,,,,,,,,,,
Momentous,livemomentous.com,Sports Nutrition,US,150,110,30,20%,Fail,,,,,,,,,,,,
Beam Organics,shopbeam.com,Sleep/Wellness,US,85,48,37,44%,Fail,,,,,,,,,,,,
Onnit,onnit.com,Nootropics/Sports Nutrition,US,71,42,27,38%,Fail,,,,,,,,,,,,
Vitauthority,vitauthority.com,Collagen/Wellness,US,36,11,24,67%,Fail,,,,,,,,,,,,
LivOn Labs,livonlabs.com,Collagen/Wellness,US,16,16,0,0%,Fail,,,,,,,,,,,,
Four Sigmatic,foursigmatic.com,Functional Mushroom,US,61,22,37,61%,Fail,,,,,,,,,,,,
Codeage,codeage.com,Collagen/Wellness,US,76,13,63,83%,Fail,,,,,,,,,,,,
Bulk Nutrients,bulknutrients.com.au,Sports Nutrition,AU,220,99,120,55%,Pass,,,,"920,349",4.20%,,,,,,,
Nuzest,nuzest.com,Protein/Wellness,US,140,120,18,13%,Fail,,,,,,,,,,,,
Perfect Keto,perfectketo.com,Keto/Supplements,US,18,10,8,44%,Fail,,,,,,,,,,,,
Muscle & Strength,muscleandstrength.com,Sports Nutrition,US,51,8,42,82%,Fail,,,,,,,,,,,,
Garden of Life,gardenoflife.com,Organic/Wellness,US,27,10,17,63%,Fail,,,,,,,,,,,,
Nutrabay,nutrabay.com,Sports Nutrition,IN,110,58,51,46%,Pass,View details,0,0,3787000,33.40%,25,0.00%,790536,7187,,,
PhenQ,phenq.com,Weight Loss,US,12,1,10,83%,Fail,,,,,,,,,,,,
Myprotein,myprotein.com,Sports Nutrition,UK,"1,300",290,1000,77%,Pass,,,,5.616M,22.23%,,,,,,,
PROMIX Nutrition,promix.com,Protein/Supplements,US,"1,400",1000,390,28%,Fail,,,,,,,,,,,,
Vital Proteins,vitalproteins.com,Collagen/Protein,US,81,38,41,51%,Fail,,,,,,,,,,,,
Kaged,kaged.com,Sports Nutrition,US,22,13,6,27%,Fail,,,,,,,,,,,,
Orgain,orgain.com,General Supplements,US,190,85,100,53%,Pass,,,,"253,379",19.52%,,,,,,,
Bloom Nutrition,bloomnu.com,Women's Wellness,US,50,16,34,68%,Fail,,,,,,,,,,,,
Swolverine,swolverine.com,Sports Nutrition,US,2,2,0,0%,Fail,,,,,,,,,,,,
MuscleTech,muscletech.com,Sports Nutrition,US,660,94,550,83%,Pass,,,,"228,070",0,,,,,,,
Onnit,onnit.com,Nootropics/Supplements,US,71,42,27,38%,Fail,,,,,,,,,,,,
Optimum Nutrition,optimumnutrition.com,Sports Nutrition,US,190,130,66,35%,Pass,View details,1,0,"716,971",1.40%,72,1.52%,18068,95,,,
DrinkLMNT,drinklmnt.com,Electrolytes,US,120,98,14,12%,Fail,,,,,,,,,,,,
MusclePharm,musclepharm.com,Sports Nutrition,US,3,0,2,67%,Fail,,,,,,,,,,,,
Gundry MD,gundrymd.com,Health/Supplements,US,25,0,25,100%,Fail,,,,,,,,,,,,
Gaspari Nutrition,gaspari.com,Sports Nutrition,US,82,32,51,62%,Fail,,,,,,,,,,,,
Swanson Vitamins,swansonvitamins.com,Health/Supplement,US,50,30,15,30%,Fail,,,,,,,,,,,,
Four Sigmatic,foursigmatic.com,Functional Food,US,61,22,37,61%,Fail,,,,,,,,,,,,
Pendulum,pendulum.life,Gut Health,US,"1,200",980,210,18%,Fail,,,,,,,,,,,,
Purity Products,purityproducts.com,Health/Supplement,US,25,2,22,88%,Fail,,,,,,,,,,,,
Higher DOSE,higherdose.com,Wellness,US,50,3,48,96%,Fail,,,,,,,,,,,,
Ancient Nutrition,ancientnutrition.com,Protein/Wellness,US,36,20,16,44%,Fail,,,,,,,,,,,,
1st Phorm,1stphorm.com,Sports Nutrition,US,260,160,86,33%,Pass,View details,Không tìm thấy,,"444,530",38.08%,85,,,,,,
Prozis,prozis.com,Sports Nutrition,EU,85,56,23,27%,Fail,,,,,,,,,,,,
Life Extension,lifeextension.com,Health/Supplement,US,78,30,46,59%,Fail,,,,,,,,,,,,
Natural Stacks,naturalstacks.com,Nootropics,US,53,37,15,28%,Fail,,,,,,,,,,,,
Nature Made,naturemade.com,General Supplements,US,400,100,300,75%,Pass,,,,"826,533",41.08%,,,,,,,
BoldFit,boldfit.in,Fitness/SupplementsIN,,10,0,10,100%,Fail,,,,,,,,,,,,
Solaray,solaray.com,General Supplements,US,250,84,160,64%,Pass,,,,"132,460",0,,,,,,,
SupplementSource,supplementsource.ca,Sports Nutrition,CA,8,3,6,75%,Fail,,,,,,,,,,,,
Gorilla Mind,gorillamind.com,Nootropics,US,41,28,13,32%,Fail,,,,,,,,,,,,
Zhou Nutrition,zhounutrition.com,General SupplementsUS,,36,19,17,47%,Fail,,,,,,,,,,,,
Sports Research,sportsresearch.com,Sports Nutrition,US,150,120,22,15%,Fail,,,,,,,,,,,,
Paleovalley,paleovalley.com,Paleo/Wellness,US,580,430,140,24%,Fail,,,,,,,,,,,,
BPI Sports,bpisports.net,Sports Nutrition,US,3,0,3,100%,Fail,,,,,,,,,,,,
Hims,www.hims.com,MEN's Health,US,"1,000",600,430,43%,Pass,View details,0,0,6800000,16.40%,137,0.00%,3819560,3820,,,
Nature's Sunshine,naturessunshine.com,General Supplements,US,42,20,20,48%,Fail,,,,,,,,,,,,
Hers,hers.com,Women's Wellness,US,"50,000",50000,50000,100%,Pass,,,,"72,000",0,,,,,,,
DrinkLMNT,drinklmnt.com,Electrolytes,US,120,98,14,12%,Fail,,,,,,,,,,,,
Magic Spoon,magicspoon.com,Protein Cereal,US,110,80,25,23%,Fail,,,,,,,,,,,,
Onnit,onnit.com,General Supplements,US,71,42,27,38%,Fail,,,,,,,,,,,,
Vitacost,vitacost.com,General Supplements,US,4,1,3,75%,Fail,,,,,,,,,,,,
Nature's Way,naturesway.com,General Supplements,US,58,17,41,71%,Fail,,,,,,,,,,,,
Puori,puori.com,Sports Nutrition,EU,7,0,6,86%,Fail,,,,,,,,,,,,
Jarrow Formulas,jarrow.com,General Supplements,US,69,10,65,94%,Fail,,,,,,,,,,,,
NATURELO,naturelo.com,General Supplements,US,30,7,20,67%,Fail,,,,,,,,,,,,
Wellgard,wellgard.co.uk,General Supplements,UK,44,8,36,82%,Fail,,,,,,,,,,,,
AS-IT-IS Nutrition,asitis.com,Sports Nutrition,IN,190,130,54,28%,Fail,,,,,,,,,,,,
Dr. Berg,drberg.com,General Supplements,US,35,12,22,63%,Fail,,,,,,,,,,,,
Primal Harvest,primal-harvest.com,General Supplements,US,100,44,60,60%,Fail,,,,,,,,,,,,
Standard Process,standardprocess.com,General Supplements,US,34,21,13,38%,Fail,,,,,,,,,,,,
DoNotAge,donotage.org,Longevity/Supplements,UK,99,39,69,70%,Fail,,,,,,,,,,,,
Country Life Vitamins,countrylifevitamins.com,General Supplements,US,65,33,32,49%,Fail,,,,,,,,,,,,
Dr. Kellyann,drkellyann.com,Wellness/Collagen,US,26,10,15,58%,Fail,,,,,,,,,,,,
Humehealth,humehealth.com,Health & Wellness,,980,590,350,36%,Pass,View details,0,71,4309000,48.61%,148,0.00%,7750038,7908,,,
Bear balance,creatinegummies.com,MEN's Health,US,890,690,190,21%,Fail,,,,,,,,,,,,
TryCreate,trycreate.co,Women's Wellness,US,160,130,23,14%,Fail,,,,,,,,,,,,
Get Quite Lab,getquietlab.com,Women's Wellness,US,250,200,48,19%,Fail,,,,,,,,,,,,
Try Spartan,shop.try-sprtn.com,MEN's Health,US,10,6,4,40%,Fail,,,,,,,,,,,,
Forge men,shop.try-forge.com,MEN's Health,US,310,240,56,18%,Fail,,,,,,,,,,,,
Primal Queen,primalqueen.com,Women's Wellness,US,1600,1300,320,20%,Fail,,,,,,,,,,,,
relatio,getrelatio.me,Personal Care,US,890,800,48,5%,Fail,,,,,,,,,,,,
Warrior babe,warriorbabe.com,Women's Wellness,US,240,180,58,24%,Fail,,,,,,,,,,,,
Nord Pilates,nordpilates.com,Personal Care,US,15,15,0,0%,Fail,,,,,,,,,,,,
Sassy Saint,sassysaints.com,Nail,US,3500,2700,880,25%,Fail,,,,,,,,,,,,
Splendorintl,splendorintl.com,Women's Wellness,US,72,68,0,0%,Fail,,,,,,,,,,,,
Legion Athletics,legionathletics.com,Sports Nutrition,US,860,500,310,36%,Pass,View details,0,0,"582,213",4.62,90,0.00%,6052104,7037,,,FALSE
Wilderglow,wilderglow.com,Women's Wellness,AUD,1,1,0,0%,Fail,,,,,,,,,,,,
trynivora,https://trynivora.com,,,680,30,650,96%,Pass,,,,"61,814",28.30%,,,,,,,
Chief Nutrition,wearechief.com,Personal Care,US,340,66,270,79%,Pass,,,,,,,,,,,,
Sculptique,trysculptique.com,Personal Care,US,1300,840,240,18%,Fail,,,,,,,,,,,,
TryBello,trybello.com,Women's Wellness,US,47,41,6,13%,Fail,,,,,,,,,,,,
Try-glamory,tryglamory.com,Women's Wellness,US,22,22,0,0%,Fail,,,,,,,,,,,,
Quite Lab,quietlab.com,Personal Care,US,290,,,0%,Fail,,,,,,,,,,,,
Nuubu,nuubu.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Mozz Guard,ozzihome.co,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Nail Fungus,thenordicstandards.com,Women's Wellness,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Medilisk,medilisk.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Koprez Foot Sleeve,koprez.com,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Ecoden,ecoden.com,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Cupid Fragrance,cupids.com,MEN's Health,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Ancient Remedies,ancientremedies.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Prose,prose.com,Women's Wellness,US,,,,,,,,,,,,,,,,,